RegionName,YoY_Price_%,LatestPrice,YoY_Inventory_%,LatestInventory,YoY_Days_%,LatestDays,YoY_Inventory_%_z,YoY_Days_%_z,DemandIndex,GeoLevel
10100,,,50.0,156.0,,,3.833409752663256,,,metro
10140,16.883116883116877,153000.0,-25.812619502868074,388.0,,,-1.0994492308477535,,,metro
10180,,,-10.876132930513593,590.0,-16.069057104913675,,-0.12758488354416248,-0.017456346624349663,0.07252061508425607,metro
10220,6.150793650793651,107000.0,-2.538071065989844,192.0,,,0.41494330824230546,,,metro
10300,9.490196078431378,139600.0,-29.225352112676063,402.0,-8.920187793427225,,-1.3215036701086926,0.6618264490344866,0.329838610537103,metro
10420,3.2482598607888713,133500.0,-10.035842293906805,2761.0,-28.953771289537713,,-0.07291014413103393,-1.241756902592496,0.657333523361765,metro
10460,,,10.152284263959398,868.0,,,1.2406598407111344,,,metro
10500,3.6687631027253698,98900.0,-22.721437740693197,602.0,,,-0.8983169678393121,,,metro
10540,13.748712667353246,220900.0,-1.943844492440605,454.0,,,0.45360752946028404,,,metro
10580,3.6150712830957277,203500.0,-12.707599396074487,3469.0,-20.477137176938363,,-0.24675192811910202,-0.436310409322319,0.34153116872071054,metro
10620,-3.2735775526110733,124100.0,-20.077220077220083,207.0,,,-0.7262670777134554,,,metro
10660,,,-23.77622377622378,109.0,,,-0.9669481641383948,,,metro
10700,,,-17.220543806646525,548.0,,,-0.5403932575409655,,,metro
10740,3.99315459212779,182300.0,-10.530381050463443,3475.0,-6.361323155216281,,-0.10508803171718294,0.9049687767818444,-0.3999403725323307,metro
10780,4.1369472182596345,146000.0,86.60436137071652,599.0,,,6.215126068591258,,,metro
10820,-1.4278914802475007,207100.0,-12.341772151898734,277.0,,,-0.22294884335987974,,,metro
10860,,,,,,,,,,metro
10900,4.416575790621602,191500.0,-20.288842301420917,3422.0,-22.483940042826557,,-0.7400365872832991,-0.6269960410887854,0.6835163141860423,metro
10940,6.690997566909984,87700.0,-13.983050847457623,203.0,,,-0.32974104248085334,,,metro
10980,,,-16.582914572864325,166.0,,,-0.4989049787473172,,,metro
11020,7.314814814814818,115900.0,-6.474820143884896,390.0,,,0.15879297097571582,,,metro
11060,4.409672830725464,73400.0,,,,,,,,metro
11100,4.777594728171342,127200.0,7.097457627118642,1011.0,-19.106699751861044,,1.041893077111328,-0.30609197549443085,-0.3679005508084485,metro
11140,,,,,,,,,,metro
11180,3.331276989512655,167500.0,20.25862068965518,279.0,,,1.8982434033789826,,,metro
11220,4.919786096256695,98100.0,,,,,,,,metro
11260,3.181980693600295,288600.0,1.7662337662337713,1959.0,-14.83870967741936,,0.695009198309603,0.09945078984227283,-0.3972299940759379,metro
11380,2.7007818052594113,144500.0,-20.33898305084746,94.0,,,-0.7432990684885468,,,metro
11420,2.1970705725699036,153500.0,-15.14195583596214,269.0,,,-0.405146890756073,,,metro
11460,8.811475409836067,265500.0,-23.44416027280477,898.0,-25.853658536585368,,-0.9453419665597101,-0.9471853884231853,0.9462636774914477,metro
11500,,,-20.610687022900763,520.0,,,-0.7609778848675014,,,metro
11540,7.971014492753614,163900.0,-14.081996434937615,964.0,-29.44444444444444,,-0.33617908186374246,-1.2883804759013886,0.8122797788825655,metro
11580,10.442477876106192,124800.0,-19.491525423728817,95.0,,,-0.6881579983541878,,,metro
11620,6.256860592755209,96800.0,44.79166666666667,278.0,,,3.494521925795841,,,metro
11660,,,-10.843373493975905,148.0,,,-0.12545334288669213,,,metro
11680,-0.46948356807511304,63600.0,18.8976377952756,151.0,,,1.8096890605668186,,,metro
11700,5.899008966493624,224400.0,-15.39444267007346,2649.0,-19.999999999999996,,-0.4215753159447998,-0.3909730194021126,0.4062741676734562,metro
11740,8.456486042692934,132100.0,-41.47727272727273,103.0,,,-2.1186928064989803,,,metro
11780,-3.584229390681004,80700.0,-11.648745519713266,493.0,,,-0.177856051806105,,,metro
11820,,,-15.403422982885084,346.0,,,-0.42215963313391747,,,metro
11860,3.0599755201958345,84200.0,,,,,,,,metro
11900,,,-12.558139534883717,188.0,,,-0.23702710362703566,,,metro
11940,-5.072463768115942,117900.0,,,,,,,,metro
11980,,,-11.52694610778443,591.0,,,-0.16993099490582492,,,metro
12020,9.5617529880478,165000.0,-25.78268876611418,806.0,-19.13513513513514,,-1.09750174367942,-0.3087938946098109,0.7031478191446154,metro
12060,7.687861271676311,186300.0,-14.568263619526856,24448.0,-21.715817694369978,,-0.36781876752052023,-0.5540093527702203,0.4609140601453703,metro
12100,2.4137931034482696,178200.0,-22.510822510822514,2864.0,-4.078303425774877,,-0.8846129798285493,1.1219004280385632,-0.11864372410500695,metro
12140,2.350965575146935,121900.0,,,,,,,,metro
12180,4.875886524822692,118300.0,-0.6734006734006703,295.0,,,0.536270814898668,,,metro
12220,6.001154068090009,183700.0,-9.753086419753087,731.0,,,-0.05451221957565156,,,metro
12260,4.597701149425282,109200.0,-14.532492459555801,3117.0,-16.182572614107883,,-0.36549126467243365,-0.028242546382146735,0.1968669055272902,metro
12300,9.256449165402113,144000.0,-18.010752688172037,610.0,,,-0.5918093543022156,,,metro
12380,9.141583054626533,97900.0,,,,,,,,metro
12420,6.987399770904923,280200.0,5.327551494502081,6801.0,1.0101010101010166,,0.9267315456473143,1.6053986485321063,-1.2660650970897103,metro
12460,1.9501625135427858,94100.0,,,,,,,,metro
12540,5.81023454157783,198500.0,-26.66105971404542,1744.0,-10.519307589880157,,-1.1546542342511752,0.5098787047691666,0.3223877647410043,metro
12580,1.7140631086871805,261100.0,1.2364042019150423,10890.0,-16.849015317286653,,0.6605350626944829,-0.09156767415225804,-0.2844836942711124,metro
12620,8.924302788844617,136700.0,-5.100671140939594,707.0,,,0.24820398590054624,,,metro
12660,3.817235396182772,179500.0,-19.175627240143367,451.0,,,-0.6676036209564334,,,metro
12680,,,-20.809248554913296,137.0,,,-0.7738975813954743,,,metro
12700,4.4740346205059955,392300.0,-16.35242929659173,2307.0,-20.32520325203252,,-0.4839081171023337,-0.4218737065699502,0.45289091183614194,metro
12740,13.8671875,233200.0,-16.93227091633466,417.0,,,-0.5216363602591907,,,metro
12780,-1.1846001974333609,100100.0,-8.517350157728709,290.0,,,0.02589276789673965,,,metro
12820,3.0732860520094496,87200.0,10.256410256410264,86.0,,,1.247434950721135,,,metro
12860,3.4977578475336335,115400.0,2.8169014084507005,146.0,,,0.7633724253235178,,,metro
