RegionName,YoY_Price_%,LatestPrice,YoY_Inventory_%,LatestInventory,YoY_Days_%,LatestDays,YoY_Inventory_%_z,YoY_Days_%_z,DemandIndex,GeoLevel
Alabama,3.4146341463414664,127200.0,-11.220773916890714,26086.0,-14.947368421052632,,-0.30330794745111606,0.30558619814365795,-0.0011391253462709472,state
Alaska,2.366641622839971,272500.0,-0.6117098747451255,3412.0,-12.446351931330469,,0.582606163890216,0.6927329872178163,-0.6376695755540162,state
Arizona,6.252873563218397,231100.0,-14.808724519872174,27458.0,-14.649681528662416,,-0.6029211892365874,0.3516668717465494,0.125627158745019,state
Arkansas,6.336805555555558,122500.0,-9.847522236340534,15609.0,-15.283842794759828,,-0.1886340198181408,0.2535013862594507,-0.032433683220654944,state
California,8.130416838629806,524000.0,-19.575236848843492,56537.0,-20.7667731629393,,-1.0009506965845438,-0.5952330765004034,0.7980918865424735,state
Colorado,7.254047322540469,344500.0,-19.167252283907242,18404.0,-21.052631578947366,,-0.9668817832618772,-0.6394827519192333,0.8031822675905553,state
Connecticut,1.9421487603305865,246700.0,-4.198656429942416,19965.0,-18.045112781954884,,0.28307676551420313,-0.17393154499170038,-0.054572610261251375,state
Delaware,10.986442262739594,237400.0,-15.327158649536898,5668.0,-10.917030567685593,,-0.6462132373801722,0.9294654749206062,-0.14162611877021697,state
DistrictofColumbia,1.9820493642483061,545400.0,34.415029888983774,1574.0,-16.104868913857672,,3.5075279956083993,0.1264100107883283,-1.8169690031983639,state
Florida,7.302533532041733,216000.0,-8.280389815056921,129786.0,-3.8834951456310662,,-0.05777000383705882,2.0182270507350317,-0.9802285234489865,state
Georgia,5.859117840684669,160800.0,-14.998580352072688,47900.0,-20.97560975609756,,-0.6187751759972208,-0.627560099058894,0.6231676375280574,state
Hawaii,6.4333504889346305,620400.0,-17.044555760611658,6293.0,-6.741573033707871,,-0.7896251660322934,1.5758086653145873,-0.39309174964114696,state
Idaho,9.55518945634266,199500.0,-14.834223521112566,8451.0,-24.86772486772487,,-0.6050504934743819,-1.2300430792254562,0.917546786349919,state
Illinois,3.3939393939393936,170600.0,-9.155777316422132,52071.0,-14.967462039045554,,-0.1308695852205291,0.30247579094769955,-0.08580310286358522,state
Indiana,5.462184873949583,125500.0,-17.18425719784159,21947.0,-17.866666666666664,,-0.8012909900979224,-0.14630884004733338,0.47379991507262786,state
Iowa,3.6478984932593272,130700.0,-5.647414118535298,12497.0,-11.891891891891893,,0.16209767865602684,0.778561059451927,-0.47032936905397693,state
Kansas,4.05844155844155,128200.0,-1.1909124221326506,10786.0,-15.264797507788163,,0.5342396248612292,0.2564495162411506,-0.3953445705511899,state
Kentucky,4.772727272727262,138300.0,-7.6909841706813475,16095.0,-15.151515151515149,,-0.00855145113700851,0.27398514652191075,-0.13271684769245112,state
Louisiana,,,30.82977588046958,19614.0,-9.307875894988072,,3.2081399340161685,1.17855582167307,-2.1933478778446194,state
Maine,8.525576730190565,216400.0,-13.72589039697928,8454.0,-25.5278310940499,,-0.5124986952350601,-1.3322247349721503,0.9223617151036052,state
Maryland,2.1324354657688005,273000.0,4.639645510230683,24087.0,-17.27078891257996,,1.021122683418878,-0.05406948052155279,-0.4835266014486626,state
Massachusetts,6.117387710112987,385100.0,-14.78086809945217,16178.0,-16.201117318435752,,-0.6005950277728146,0.11151116428370017,0.2445419317445572,state
Michigan,6.661502711076683,137700.0,-15.580645849785501,39553.0,-20.5955334987593,,-0.667380786831521,-0.5687258997497254,0.6180533432906232,state
Minnesota,5.11166253101738,211800.0,-11.558729377000743,17958.0,-18.71657754010695,,-0.3315290525294653,-0.2778714534902273,0.30470025300984627,state
Mississippi,5.992844364937389,118500.0,-9.003317011530566,11522.0,-19.463087248322154,,-0.1181383268374829,-0.3934280032914278,0.25578316506445536,state
Missouri,3.5175879396984966,144200.0,-10.396323951751862,28080.0,-19.33701657458563,,-0.23446192528461557,-0.3739127954812892,0.30418736038295235,state
Montana,6.3104325699745445,208900.0,-8.81490173071282,6217.0,-8.545034642032334,,-0.10240463389287682,1.2966404256206152,-0.5971178958638692,state
Nebraska,7.359009628610735,156100.0,-6.930490055361904,4539.0,-18.971061093247588,,0.05495391235943813,-0.31726443265508103,0.13115526014782145,state
